Date,Open,High,Low,Close,Volume,Change,ChangeRatio,평균기온(℃),강수량(mm),Stock,강수량(mm)_log
2024-03-18,172775,176118,172202,174304,560098,1529,0.884965996,7.7,0.2,고구마켓 주식회사,0.182321557
2024-03-19,172870,176500,172393,176118,643300,3248,1.878868514,7.2,0.4,고구마켓 주식회사,0.336472237
2024-03-20,176978,177169,174781,174877,391630,-2101,-1.187153205,4.7,0.266666667,고구마켓 주식회사,0.236388778
2024-03-21,176690,177455,174971,177455,623630,765,0.432961684,5.2,0.133333333,고구마켓 주식회사,0.125163143
2024-03-22,177264,180416,177169,179748,598151,2484,1.401299756,12.5,0,고구마켓 주식회사,0
2024-03-25,181657,183758,180416,180416,676431,-1241,-0.683155617,11.9,14.3,고구마켓 주식회사,2.727852828
2024-03-26,180321,182899,177169,178029,722861,-2292,-1.271066598,8.8,27.9,고구마켓 주식회사,3.363841595
2024-03-27,176213,177646,172202,175927,674622,-286,-0.162303576,10.9,28.5,고구마켓 주식회사,3.384390263
2024-03-28,174303,177932,173825,175545,939101,1242,0.71255228,10,29.1,고구마켓 주식회사,3.404525172
2024-03-29,175736,184141,175736,182613,1499864,6877,3.913256248,10.1,0,고구마켓 주식회사,0
2024-04-01,184809,185382,178601,179652,706060,-5157,-2.790448517,13.6,2.566666667,고구마켓 주식회사,1.271631453
2024-04-02,178410,179269,175545,175545,539280,-2865,-1.60585169,16.2,2.9,고구마켓 주식회사,1.360976553
2024-04-03,173443,174112,171533,172393,500100,-1050,-0.605386208,14.3,27.7,고구마켓 주식회사,3.356897123
2024-04-04,174208,174494,171534,171534,334273,-2674,-1.53494673,13.9,6.4,고구마켓 주식회사,2.00148
2024-04-05,170005,171247,169336,169528,350780,-477,-0.280579983,13.5,0.9,고구마켓 주식회사,0.641853886
2024-04-08,169050,182326,168190,180034,1101630,10984,6.497485951,15.8,2.07,고구마켓 주식회사,1.121677562
2024-04-09,181467,182135,173158,173158,814046,-8309,-4.57879394,14.7,2.46,고구마켓 주식회사,1.241268589
2024-04-11,169718,172584,169527,171438,550328,1720,1.013445834,16.9,3.24,고구마켓 주식회사,1.444563269
2024-04-12,171342,175067,170101,174017,500959,2675,1.561205075,17.8,3.63,고구마켓 주식회사,1.532556868
2024-04-15,171916,172680,170483,170579,379356,-1337,-0.777705391,17,4.8,고구마켓 주식회사,1.757857918
2024-04-16,169336,170292,164083,164275,665621,-5061,-2.988732461,14.4,0,고구마켓 주식회사,0
2024-04-17,165421,169050,162078,163320,718771,-2101,-1.270092673,15.5,1.175,고구마켓 주식회사,0.777028665
2024-04-18,165134,169814,165039,169146,497186,4012,2.429542069,16.4,2.35,고구마켓 주식회사,1.208960346
2024-04-19,167140,167522,163320,165135,527802,-2005,-1.199593155,18.3,3.525,고구마켓 주식회사,1.509617577
2024-04-22,167808,170674,166853,170674,450728,2866,1.707904272,17.7,0.4,고구마켓 주식회사,0.336472237
2024-04-23,170769,171629,169623,171629,314939,860,0.503604284,16,0.4,고구마켓 주식회사,0.336472237
2024-04-24,172106,172775,171055,171438,292281,-668,-0.388132895,13.7,4.5,고구마켓 주식회사,1.704748092
2024-04-25,169719,170961,168191,169433,322108,-286,-0.168513838,15.9,3.7,고구마켓 주식회사,1.547562509
2024-04-26,169528,170770,168382,168669,231575,-859,-0.506700958,17.3,2.9,고구마켓 주식회사,1.360976553
2024-04-29,170483,175545,170483,175450,672709,4967,2.913486975,18.1,0.5,고구마켓 주식회사,0.405465108
2024-04-30,175450,182613,174781,180512,1284816,5062,2.885152465,15.2,0.2,고구마켓 주식회사,0.182321557
2024-05-02,179461,182135,178601,179079,550387,-382,-0.212859619,16.9,9.366666667,고구마켓 주식회사,2.338595531
2024-05-03,180416,181085,178792,180512,308848,96,0.053210358,17.9,4.733333333,고구마켓 주식회사,1.746297095
2024-05-07,182421,188152,182421,185669,1117348,3248,1.780496763,13.9,12.9,고구마켓 주식회사,2.63188884
2024-05-08,186624,187483,184809,185860,485825,-764,-0.409379287,15.4,2.3,고구마켓 주식회사,1.193922468
2024-05-09,186050,187197,181180,181180,841440,-4870,-2.61757592,15.9,7.633333333,고구마켓 주식회사,2.15563068
2024-05-10,184619,188057,183377,184237,748914,-382,-0.206912615,18,12.96666667,고구마켓 주식회사,2.636673538
2024-05-13,184332,184618,179843,182231,464150,-2101,-1.139791246,17.4,5.433333333,고구마켓 주식회사,1.861492807
2024-05-14,180893,183090,180320,182326,290635,1433,0.792181013,18.4,7.766666667,고구마켓 주식회사,2.170956651
2024-05-16,185096,186624,183663,184332,488119,-764,-0.412758785,14.5,0.6,고구마켓 주식회사,0.470003629
2024-05-17,181658,183759,180034,182900,1047253,1242,0.683702342,19.9,1.09,고구마켓 주식회사,0.737164066
2024-05-20,184619,184810,176405,178602,554502,-6017,-3.259144508,20.2,2.56,고구마켓 주식회사,1.269760545
2024-05-21,177169,179366,176691,177838,250392,669,0.377605563,20.4,3.05,고구마켓 주식회사,1.398716881
2024-05-22,178123,179556,175926,176500,325160,-1623,-0.911168125,21.3,3.54,고구마켓 주식회사,1.512927012
2024-05-23,175545,177169,175259,175259,302897,-286,-0.162921188,21,4.03,고구마켓 주식회사,1.615419984
2024-05-24,174398,175544,171533,171820,510126,-2578,-1.478227961,19.7,4.52,고구마켓 주식회사,1.70837786
2024-05-27,172489,173062,170483,171534,420136,-955,-0.553658494,18.2,4.583333333,고구마켓 주식회사,1.71978597
2024-05-28,171534,174208,170483,172776,431335,1242,0.724054706,19.6,3.666666667,고구마켓 주식회사,1.540445041
2024-05-29,171151,171820,169145,170865,516853,-286,-0.167103902,21.3,2.75,고구마켓 주식회사,1.32175584
2024-05-30,169528,173252,169241,169337,374290,-191,-0.112665754,21.3,1.833333333,고구마켓 주식회사,1.041453875
2024-05-31,171629,173826,168191,168287,924398,-3342,-1.947223371,20.8,0.916666667,고구마켓 주식회사,0.650587566
2024-06-03,169241,172584,168859,170961,324383,1720,1.016302196,20.7,9.4,고구마켓 주식회사,2.341805806
2024-06-04,169910,181371,169910,179652,1351940,9742,5.733623683,21.3,7.05,고구마켓 주식회사,2.085672091
2024-06-05,180893,184904,179747,181753,931989,860,0.47541917,21.7,4.7,고구마켓 주식회사,1.740466175
2024-06-07,183185,183949,180033,182517,517375,-668,-0.364658678,22.2,0,고구마켓 주식회사,0
2024-06-10,180033,184045,178219,180989,567325,956,0.531013759,24.9,5.842857143,고구마켓 주식회사,1.923205355
2024-06-11,181466,186242,180225,183950,821084,2484,1.368851465,24.8,6.414285714,고구마켓 주식회사,2.003408641
2024-06-12,186147,186242,178888,179175,962286,-6972,-3.745427001,25.1,6.985714286,고구마켓 주식회사,2.077654231
2024-06-13,181084,182994,174399,174399,1522396,-6685,-3.691656911,25.8,7.557142857,고구마켓 주식회사,2.146766356
2024-06-14,174494,178028,171629,175163,1053795,669,0.383394271,26.1,8.128571429,고구마켓 주식회사,2.211409212
2024-06-17,175163,175640,171629,171725,633364,-3438,-1.962743273,23.5,9.842857143,고구마켓 주식회사,2.383506535
2024-06-18,171724,173061,170196,171056,478322,-668,-0.388996296,24.8,10.41428571,고구마켓 주식회사,2.434865704
2024-06-19,172775,175258,171915,175163,489745,2388,1.382144407,26.9,10.98571429,고구마켓 주식회사,2.483715464
2024-06-20,174971,174971,172011,172011,386551,-2960,-1.691708912,25,11.55714286,고구마켓 주식회사,2.530289656
2024-06-21,171629,173252,169146,169146,1605181,-2483,-1.446725204,26.3,12.12857143,고구마켓 주식회사,2.57479088
2024-06-24,169910,172107,169719,170961,392986,1051,0.618562769,24.3,0,고구마켓 주식회사,0
2024-06-25,172584,172871,169719,170388,380537,-2196,-1.272423863,23.2,7.16,고구마켓 주식회사,2.099244169
2024-06-26,169719,170292,168668,168860,429798,-859,-0.506130722,24.8,14.32,고구마켓 주식회사,2.729159164
2024-06-27,167522,168095,165994,165994,521078,-1528,-0.912119005,24,21.48,고구마켓 주식회사,3.112626025
2024-06-28,166280,167522,165707,166472,346933,192,0.115467885,25.8,28.64,고구마켓 주식회사,3.3891248
2024-07-01,167331,175832,167331,175832,1100015,8501,5.080349726,26,1.2,고구마켓 주식회사,0.78845736
2024-07-02,175831,177360,172680,176214,773095,383,0.217822796,27.2,11.5,고구마켓 주식회사,2.525728644
2024-07-03,176691,177073,172297,173635,480750,-3056,-1.729573097,26.8,25.2,고구마켓 주식회사,3.265759411
2024-07-04,174590,176118,172775,174686,411712,96,0.054985967,28.3,16.05,고구마켓 주식회사,2.836150204
2024-07-05,175258,179078,173634,177455,757794,2197,1.253580436,26.2,6.9,고구마켓 주식회사,2.066862759
2024-07-08,177264,178410,174780,175163,430008,-2101,-1.185237837,26.3,35.8,고구마켓 주식회사,3.605497845
2024-07-09,175259,179461,175259,178793,625688,3534,2.016444234,24,84.5,고구마켓 주식회사,4.448516376
2024-07-10,178601,178792,175640,176405,503752,-2196,-1.229556385,23.8,72.9,고구마켓 주식회사,4.302712828
2024-07-11,177741,177741,174876,177455,542335,-286,-0.160908288,24.3,0,고구마켓 주식회사,0
2024-07-12,177264,182804,177169,180321,886317,3057,1.724546439,25.3,0,고구마켓 주식회사,0
2024-07-15,182421,183376,180033,180225,560616,-2196,-1.203808772,26.8,7.7,고구마켓 주식회사,2.163323026
2024-07-16,181466,181562,176309,180225,557391,-1241,-0.683874665,26.2,2.1,고구마켓 주식회사,1.131402111
2024-07-17,180512,184619,178888,183855,1060342,3343,1.851954441,28.2,18.4,고구마켓 주식회사,2.965273066
2024-07-18,183376,183567,179269,179461,672420,-3915,-2.134957683,27.1,34.7,고구마켓 주식회사,3.575150689
2024-07-19,177646,180607,177168,179461,419242,1815,1.021694831,26.1,1.9,고구마켓 주식회사,1.064710737
2024-07-22,179556,185669,179270,184523,1485129,4967,2.766267905,29.6,4.25,고구마켓 주식회사,1.658228077
2024-07-23,183854,185669,180703,180703,721073,-3151,-1.713859911,28.6,0,고구마켓 주식회사,0
2024-07-24,179843,186242,178123,184714,979687,4871,2.708473502,28,42,고구마켓 주식회사,3.761200116
2024-07-25,185287,195793,183472,190254,2263315,4967,2.680706148,29.6,22.8,고구마켓 주식회사,3.169685581
2024-07-26,192450,195315,189203,191018,1090609,-1432,-0.744089374,28.3,3.6,고구마켓 주식회사,1.526056303
2024-07-29,193883,200569,192928,199614,1368715,5731,2.955906397,29,9.6,고구마켓 주식회사,2.360854001
2024-07-30,197703,201524,194361,199614,1092658,1911,0.966601417,28.6,7.2,고구마켓 주식회사,2.104134154
2024-07-31,200091,201046,191495,195316,1070686,-4775,-2.386414182,29.7,4.8,고구마켓 주식회사,1.757857918
2024-08-01,191973,197703,190826,191018,943861,-955,-0.497465789,29.9,2.4,고구마켓 주식회사,1.223775432
2024-08-02,188629,190348,183663,184905,1083212,-3724,-1.974245742,30.3,0,고구마켓 주식회사,0
2024-08-05,179843,186529,165230,174304,2078099,-5539,-3.079908587,28,25.1,고구마켓 주식회사,3.261935314
2024-08-06,179174,182421,173443,173826,1768430,-5348,-2.984808064,29.4,17.4,고구마켓 주식회사,2.912350665
2024-08-07,172298,195793,172202,188153,3799539,15855,9.202080117,30,9.7,고구마켓 주식회사,2.370243741
2024-08-08,188343,190444,183854,186911,1431107,-1432,-0.760314957,27.5,2,고구마켓 주식회사,1.098612289
2024-08-09,189107,192449,185859,187197,1166065,-1910,-1.010010206,28.9,1,고구마켓 주식회사,0.693147181
2024-08-12,190635,194838,189680,191018,1000724,383,0.200907493,30.4,0,고구마켓 주식회사,0
2024-08-13,190063,191018,182899,184046,1031936,-6017,-3.165792395,30.8,0,고구마켓 주식회사,0
2024-08-14,185477,186528,182230,185860,708893,383,0.206494606,30.6,13.75,고구마켓 주식회사,2.691243083
2024-08-16,186624,191973,186242,188344,987190,1720,0.921639232,27.7,17.1,고구마켓 주식회사,2.895911938
2024-08-19,188630,190349,186720,188726,586463,96,0.050893283,30.1,0.3,고구마켓 주식회사,0.262364264
2024-08-20,189966,190635,187005,187388,513445,-2578,-1.357084952,30.4,0.1,고구마켓 주식회사,0.09531018
2024-08-21,189107,191018,187866,190827,854068,1720,0.909537986,29.2,18.1,고구마켓 주식회사,2.949688335
2024-08-22,191018,195316,189108,193406,834272,2388,1.250143965,28.9,0.6,고구마켓 주식회사,0.470003629
2024-08-23,192928,195316,191973,193406,613852,478,0.247760823,28.5,0.45,고구마켓 주식회사,0.371563556
2024-08-26,195315,198180,193405,195793,647054,478,0.244732867,28.8,0,고구마켓 주식회사,0
2024-08-27,195792,199613,191017,191495,732103,-4297,-2.194675983,27.4,0,고구마켓 주식회사,0
2024-08-28,192450,194837,188916,192450,705580,0,0,28.4,0,고구마켓 주식회사,0
2024-08-29,191973,195315,189967,190063,544375,-1910,-0.994931579,28.8,0,고구마켓 주식회사,0
2024-08-30,191017,195315,190922,193883,793701,2866,1.500390018,28,0.2,고구마켓 주식회사,0.182321557
2024-09-02,193883,194360,186719,188248,823679,-5635,-2.906391999,26.6,0.8,고구마켓 주식회사,0.587786665
2024-09-03,188057,191495,187961,188153,406378,96,0.051048352,27.6,1,고구마켓 주식회사,0.693147181
2024-09-04,181944,185478,181562,181658,806051,-286,-0.157191224,28,0.75,고구마켓 주식회사,0.559615788
2024-09-05,183472,184523,176882,179557,669897,-3915,-2.133840586,27.2,0.5,고구마켓 주식회사,0.405465108
2024-09-06,179652,183854,177168,182613,692276,2961,1.648186494,26.7,0,고구마켓 주식회사,0
2024-09-09,178411,184714,178315,183473,418148,5062,2.837269002,28.5,7.5,고구마켓 주식회사,2.140066163
2024-09-10,185477,187579,183758,187006,574948,1529,0.824360972,29.9,10.95,고구마켓 주식회사,2.480731278
2024-09-11,188056,188056,180224,182135,613136,-5921,-3.148530225,27.8,14.4,고구마켓 주식회사,2.734367509
2024-09-12,182517,187197,182135,186815,691311,4298,2.354849137,27.5,5,고구마켓 주식회사,1.791759469
2024-09-13,186815,187292,185095,186433,305832,-382,-0.204480368,28.8,3.466666667,고구마켓 주식회사,1.496642418
2024-09-19,189202,193405,189202,192450,790587,3248,1.716683756,29.8,24.1,고구마켓 주식회사,3.222867846
2024-09-20,192927,194360,190921,192450,777141,-477,-0.247243776,26.4,29.3,고구마켓 주식회사,3.411147713
2024-09-23,193882,201523,193882,195793,871677,1911,0.985651066,22.8,0.588888889,고구마켓 주식회사,0.46303496
2024-09-24,196270,196270,191018,196271,504015,1,0.000509502,22,0.977777778,고구마켓 주식회사,0.68197388
2024-09-25,198181,200091,190731,191018,664229,-7163,-3.61437272,23.4,1.366666667,고구마켓 주식회사,0.861482495
2024-09-26,190922,192928,189107,192928,575984,2006,1.050690858,24.7,1.755555556,고구마켓 주식회사,1.013619076
2024-09-27,191972,192450,186051,186051,978278,-5921,-3.084303961,23.5,2.144444444,고구마켓 주식회사,1.145637227
2024-09-30,186815,188534,184045,186624,557282,-191,-0.102240184,22.4,3.311111111,고구마켓 주식회사,1.461195669
2024-10-02,183568,186624,182422,182422,490886,-1146,-0.624291816,15.6,5.55,고구마켓 주식회사,1.87946505
2024-10-04,182899,187006,182135,184046,497281,1147,0.627122073,16.9,5.033333333,고구마켓 주식회사,1.79729965
2024-10-07,185383,186529,182422,184810,381330,-573,-0.30908983,17.5,4.7,고구마켓 주식회사,1.740466175
2024-10-08,183663,184714,182613,182613,510849,-1050,-0.571699254,18,3.166666667,고구마켓 주식회사,1.427116356
2024-10-10,183854,187675,183759,185574,737667,1720,0.935524927,19.1,0.1,고구마켓 주식회사,0.09531018
2024-10-11,186337,189394,185478,188439,506327,2102,1.12806367,18.7,1.675,고구마켓 주식회사,0.98394938
2024-10-14,190157,190444,186623,187006,456937,-3151,-1.657051805,18.8,6.4,고구마켓 주식회사,2.00148
2024-10-15,187006,192927,186051,191495,695371,4489,2.400457739,20.1,2,고구마켓 주식회사,1.098612289
2024-10-16,190348,191972,186910,187006,653155,-3342,-1.755731607,19.9,3.533333333,고구마켓 주식회사,1.511457504
2024-10-17,187006,187674,179556,180416,1223293,-6590,-3.523951103,20.3,5.066666667,고구마켓 주식회사,1.802809305
2024-10-18,180512,182422,179270,179939,617799,-573,-0.31743042,21.9,6.6,고구마켓 주식회사,2.028148247
2024-10-21,180798,184046,180798,183091,463391,2293,1.268266242,15.1,3.7,고구마켓 주식회사,1.547562509
