Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-11-25,99000,99200,97100,98000,2293010,-1000,-1.0101010101010102
2024-11-26,96400,97100,94700,96000,947603,-400,-0.4149377593360996
2024-11-27,98800,100500,96900,98700,1155849,-100,-0.10121457489878542
2024-11-28,98000,98600,97000,98000,738242,0,0.0
2024-11-29,96000,97200,95000,96200,1318240,200,0.20833333333333334
2024-12-02,96800,97200,95900,96400,719699,-400,-0.4132231404958678
2024-12-03,97400,101900,97400,101200,1757811,3800,3.9014373716632447
2024-12-04,97300,98400,94000,95400,4313125,-1900,-1.9527235354573484
2024-12-05,92700,94200,85800,85800,4884267,-6900,-7.443365695792881
2024-12-06,84900,88600,84900,85300,4850007,400,0.47114252061248524
2024-12-09,83600,84600,81600,82800,3374866,-800,-0.9569377990430622
2024-12-10,84000,85300,83300,83300,2698978,-700,-0.8333333333333334
2024-12-11,82800,85800,82400,85400,2355417,2600,3.140096618357488
2024-12-12,87000,88300,86000,87000,2791966,0,0.0
2024-12-13,86100,87000,85000,85000,1694440,-1100,-1.2775842044134729
2024-12-16,85400,86500,84200,84600,1548003,-800,-0.936768149882904
2024-12-17,83900,85800,83700,84400,1655078,500,0.5959475566150179
2024-12-18,84500,87600,84500,87200,1285529,2700,3.195266272189349
2024-12-19,85600,87900,85100,86900,1653800,1300,1.5186915887850467
2024-12-20,86100,86800,85300,85800,1727765,-300,-0.34843205574912894
2024-12-23,86300,87800,85900,87000,720602,700,0.8111239860950173
2024-12-24,87300,87600,86000,86500,417559,-800,-0.9163802978235969
2024-12-26,86600,86700,84800,85500,915276,-1100,-1.2702078521939952
2024-12-27,84500,85500,84300,85000,790972,500,0.591715976331361
2024-12-30,85000,85700,82900,82900,789952,-2100,-2.4705882352941173
