Date,Open,High,Low,Close,Volume,Change,ChangeRatio
2024-05-17,78600,78800,77200,77400,15918201,-1200,-1.5267175572519083
2024-05-20,78100,79100,77900,78900,19456783,800,1.0243277848911652
2024-05-21,78500,79000,78200,78400,13690583,-100,-0.12738853503184713
2024-05-22,78100,78700,77300,77700,19521506,-400,-0.5121638924455826
2024-05-23,77700,79100,77100,78300,18728087,600,0.7722007722007722
2024-05-24,76800,77000,75700,75900,27891278,-900,-1.171875
2024-05-27,75300,78200,74000,77200,43825202,1900,2.5232403718459495
2024-05-28,76500,78000,76200,77600,18539072,1100,1.4379084967320261
2024-05-29,77700,78200,75200,75200,30244875,-2500,-3.2175032175032174
2024-05-30,74800,75200,73500,73500,28551273,-1300,-1.7379679144385027
2024-05-31,74500,74700,73500,73500,26198776,-1000,-1.342281879194631
2024-06-03,74400,76400,74200,75700,15706268,1300,1.747311827956989
2024-06-04,74900,76100,74900,75300,14098053,400,0.5340453938584779
2024-06-05,78000,78000,76800,77400,23177968,-600,-0.7692307692307693
2024-06-07,78400,78600,77100,77300,21189349,-1100,-1.403061224489796
2024-06-10,76100,76600,75600,75700,14598755,-400,-0.5256241787122208
2024-06-11,75900,76000,75100,75200,16971175,-700,-0.922266139657444
2024-06-12,75300,77100,75200,76500,19246725,1200,1.593625498007968
2024-06-13,78400,79000,77800,78600,33763804,200,0.25510204081632654
2024-06-14,79700,80500,79000,79600,22926612,-100,-0.12547051442910914
2024-06-17,79200,79500,78000,78100,16123051,-1100,-1.3888888888888888
2024-06-18,78700,80200,78600,79800,18207598,1100,1.3977128335451081
2024-06-19,81100,82500,80500,81200,24168863,100,0.12330456226880394
2024-06-20,81500,82200,81200,81600,20288913,100,0.1226993865030675
2024-06-21,80700,80800,80000,80000,17907523,-700,-0.8674101610904585
2024-06-24,79700,80900,79500,80600,15454227,900,1.1292346298619824
2024-06-25,80600,81800,80100,80800,19088458,200,0.24813895781637718
2024-06-26,80100,81400,79900,81300,17783242,1200,1.4981273408239701
2024-06-27,81300,81600,80500,81600,11739720,300,0.36900369003690037
2024-06-28,81900,81900,80800,81500,9455929,-400,-0.4884004884004884
2024-07-01,81500,82100,81300,81800,11317202,300,0.36809815950920244
2024-07-02,82500,82600,81500,81800,14471904,-700,-0.8484848484848486
2024-07-03,82300,82300,81000,81800,11440328,-500,-0.6075334143377886
2024-07-04,82900,84700,82400,84600,43857229,1700,2.0506634499396865
2024-07-05,85600,87100,85200,87100,45791193,1500,1.7523364485981308
2024-07-08,87900,88600,86900,87400,24035809,-500,-0.5688282138794084
2024-07-09,87800,88200,86900,87800,21336201,0,0.0
2024-07-10,87600,88000,87100,87800,17813847,200,0.228310502283105
